document_id,passage_id,annotation_id,entity_text,start_offset,length,type,MESH,CompositeRole
227508,0,0,Naloxone,0,8,Chemical,D009270,
227508,0,1,clonidine,49,9,Chemical,D003000,
227508,1,2,hypertensive,93,12,Disease,D006973,
227508,1,3,clonidine,181,9,Chemical,D003000,
227508,1,4,nalozone,244,8,Chemical,-1,
227508,1,5,hypotensive,274,11,Disease,D007022,
227508,1,6,alpha-methyldopa,306,16,Chemical,D008750,
227508,1,7,naloxone,354,8,Chemical,D009270,
227508,1,8,Naloxone,364,8,Chemical,D009270,
227508,1,9,hypertensive,469,12,Disease,D006973,
227508,1,10,clonidine,487,9,Chemical,D003000,
227508,1,11,[3H]-naloxone,563,13,Chemical,-1,
227508,1,12,naloxone,589,8,Chemical,D009270,
227508,1,13,clonidine,637,9,Chemical,D003000,
227508,1,14,[3H]-dihydroergocryptine,671,24,Chemical,-1,
227508,1,15,hypertensive,750,12,Disease,D006973,
227508,1,16,naloxone,865,8,Chemical,D009270,
227508,1,17,clonidine,878,9,Chemical,D003000,
227508,1,18,clonidine,1026,9,Chemical,D003000,
227508,1,19,alpha-methyldopa,1039,16,Chemical,D008750,
354896,0,0,Lidocaine,0,9,Chemical,D008012,
354896,0,1,cardiac asystole,18,16,Disease,D006323,
354896,1,2,lidocaine,90,9,Chemical,D008012,
354896,1,3,depression,142,10,Disease,D003866,
354896,1,4,bradyarrhythmias,331,16,Disease,D001919,
354896,1,5,lidocaine,409,9,Chemical,D008012,
435349,0,0,Suxamethonium,0,13,Chemical,D013390,
435349,0,1,fasciculations,41,14,Disease,D005207,
435349,1,2,Suxamethonium chloride,80,22,Chemical,D013390,
435349,1,3,Sch,104,3,Chemical,D013390,
435349,1,4,tetanic,265,7,Disease,D013746,
435349,1,5,Sch,312,3,Chemical,D013390,
435349,1,6,Fasciculations,395,14,Disease,D005207,
435349,1,7,fasciculation,483,13,Disease,D005207,
435349,1,8,fasciculation,523,13,Disease,D005207,
435349,1,9,twitch,538,6,Disease,D013746,
435349,1,10,tetanus,561,7,Disease,D013746,
435349,1,11,Fasciculations,627,14,Disease,D005207,
435349,1,12,fasciculation,673,13,Disease,D005207,
435349,1,13,fasciculation,746,13,Disease,D005207,
603022,0,0,Galanthamine hydrobromide,0,25,Chemical,D005702,
603022,0,1,scopolamine,111,11,Chemical,D012601,
603022,0,2,Hyoscine,124,8,Chemical,D012601,
603022,1,3,Galanthamine hydrobromide,135,25,Chemical,D005702,
603022,1,4,scopolamine,292,11,Chemical,D012601,
603022,1,5,hyoscine,305,8,Chemical,D012601,
603022,1,6,overdosage,315,10,Disease,D062787,
603022,1,7,physostigmine,352,13,Chemical,D010830,
603022,1,8,scopolamine,500,11,Chemical,D012601,
1378968,0,0,lithium,54,7,Chemical,D008094,
1378968,0,1,chronic renal failure,70,21,Disease,D007676,
1378968,1,2,lithium,111,7,Chemical,D008094,
1378968,1,3,nephropathy,127,11,Disease,D007674,
1378968,1,4,renal failure,309,13,Disease,D051437,
1378968,1,5,lithium,362,7,Chemical,D008094,
1378968,1,6,lithium,520,7,Chemical,D008094,
1378968,1,7,lithium,581,7,Chemical,D008094,
1378968,1,8,lithium,608,7,Chemical,D008094,
1378968,1,9,lithium,632,7,Chemical,D008094,
1378968,1,10,lithium,820,7,Chemical,D008094,
1378968,1,11,lithium,853,7,Chemical,D008094,
1378968,1,12,Li,941,2,Chemical,D008094,
1378968,1,13,Lithium,955,7,Chemical,D008094,
1378968,1,14,proteinuria,975,11,Disease,D011507,
1378968,1,15,hypertension,1000,12,Disease,D006973,
1378968,1,16,glomerulosclerosis,1027,18,Disease,D005921,
1378968,1,17,renal failure,1087,13,Disease,D051437,
1378968,1,18,creatinine,1156,10,Chemical,D003404,
1378968,1,19,lithium,1177,7,Chemical,D008094,
1378968,1,20,Li,1333,2,Chemical,D008094,
1378968,1,21,Li,1379,2,Chemical,D008094,
1378968,1,22,nephropathy,1390,11,Disease,D007674,
1378968,1,23,proteinuria,1466,11,Disease,D011507,
