document_id,annotation_id,mesh_id,text,offset,length
227508,0,D009270,Naloxone,0,8
227508,1,D003000,clonidine,49,9
227508,3,D003000,clonidine,181,9
227508,4,-1,nalozone,244,8
227508,6,D008750,alpha-methyldopa,306,16
227508,7,D009270,naloxone,354,8
227508,8,D009270,Naloxone,364,8
227508,10,D003000,clonidine,487,9
227508,11,-1,[3H]-naloxone,563,13
227508,12,D009270,naloxone,589,8
227508,13,D003000,clonidine,637,9
227508,14,-1,[3H]-dihydroergocryptine,671,24
227508,16,D009270,naloxone,865,8
227508,17,D003000,clonidine,878,9
227508,18,D003000,clonidine,1026,9
227508,19,D008750,alpha-methyldopa,1039,16
354896,0,D008012,Lidocaine,0,9
354896,2,D008012,lidocaine,90,9
354896,5,D008012,lidocaine,409,9
435349,0,D013390,Suxamethonium,0,13
435349,2,D013390,Suxamethonium chloride,80,22
435349,3,D013390,Sch,104,3
435349,5,D013390,Sch,312,3
603022,0,D005702,Galanthamine hydrobromide,0,25
603022,1,D012601,scopolamine,111,11
603022,2,D012601,Hyoscine,124,8
603022,3,D005702,Galanthamine hydrobromide,135,25
603022,4,D012601,scopolamine,292,11
603022,5,D012601,hyoscine,305,8
603022,7,D010830,physostigmine,352,13
603022,8,D012601,scopolamine,500,11
1378968,0,D008094,lithium,54,7
1378968,2,D008094,lithium,111,7
1378968,5,D008094,lithium,362,7
1378968,6,D008094,lithium,520,7
1378968,7,D008094,lithium,581,7
1378968,8,D008094,lithium,608,7
1378968,9,D008094,lithium,632,7
1378968,10,D008094,lithium,820,7
1378968,11,D008094,lithium,853,7
1378968,12,D008094,Li,941,2
1378968,13,D008094,Lithium,955,7
1378968,18,D003404,creatinine,1156,10
1378968,19,D008094,lithium,1177,7
1378968,20,D008094,Li,1333,2
1378968,21,D008094,Li,1379,2
1420741,1,D005672,fusidic acid,34,12
1420741,2,D016572,cyclosporin,107,11
1420741,3,D016572,cyclosporin,217,11
1420741,5,D005672,fusidic acid,391,12
1420741,7,D005672,Fusidic acid,507,12
1420741,8,D005672,fusidic acid,743,12
1420741,10,D005672,fusidic acid,1205,12
1420741,12,D005672,fusidic acid,1402,12
1601297,1,D003042,cocaine,83,7
1601297,2,D003042,cocaine,135,7
1601297,4,D003042,cocaine,232,7
1967484,0,D013469,Sulpiride,0,9
1967484,2,D013469,Sulpiride,36,9
1967484,3,D000928,antidepressant,107,14
1967484,4,D013469,sulpiride,204,9
1967484,8,D013469,sulpiride,395,9
1967484,9,D013469,sulpiride,456,9
2234245,3,D003676,desferrioxamine,64,15
2234245,4,D003676,desferrioxamine,151,15
2234245,15,D003676,Desferrioxamine,766,15
2234245,18,D003676,desferrioxamine,1030,15
2234245,19,-1,aluminium,1097,9
2234245,21,D003676,desferrioxamine,1234,15
2385256,1,D008274,magnesium,47,9
2385256,4,D008274,magnesium,192,9
2385256,6,D008274,magnesium,245,9
2385256,7,D008274,magnesium,321,9
2385256,9,D000109,acetylcholine,691,13
2385256,11,D008274,magnesium,777,9
2385256,13,D008274,magnesium,1024,9
2505783,0,C004656,Chloroacetaldehyde,0,18
2505783,1,D003520,cyclophosphamide,77,16
2505783,2,D007069,ifosfamide,97,10
2505783,3,C004656,chloroacetaldehyde,192,18
2505783,4,C004656,CAA,212,3
2505783,5,C004656,CAA,349,3
2505783,9,C004656,CAA,423,3
2505783,11,C004656,CAA,534,3
2505783,12,D015080,mesna,614,5
2515254,3,D005996,nitroglycerin,156,13
2515254,5,D005996,nitroglycerin,288,13
2515254,7,D005996,nitroglycerin,461,13
2515254,10,D005996,nitroglycerin,617,13
2572625,0,C084599,Clotiazepam,0,11
2572625,4,C084599,clotiazepam,185,11
2572625,5,C013295,thienodiazepine,200,15
2572625,6,C084599,Clotiazepam,228,11
2572625,7,D001569,benzodiazepines,314,15
2572625,8,C084599,clotiazepam,353,11
2572625,10,C084599,clotiazepam,471,11
2572625,13,C084599,clotiazepam,569,11
2572625,14,D001569,benzodiazepines,593,15
2632720,1,D007654,ketoconazole,53,12
2632720,3,D007654,ketoconazole,154,12
2632720,5,D006854,cortisol,246,8
2632720,6,D007654,ketoconazole,290,12
2632720,8,D003900,deoxycorticosterone,467,19
2632720,9,D003350,11-deoxycortisol,491,16
2632720,10,D003900,deoxycorticosterone,572,19
2632720,11,D003350,11-deoxycortisol,596,16
2632720,12,D000450,aldosterone,628,11
2632720,13,D007654,ketoconazole,770,12
2670794,0,D000809,angiotensin,27,11
2670794,1,D002216,Captopril,58,9
2670794,7,D014148,tranexamic acid,250,15
2670794,8,D014148,AMCA,267,4
2670794,14,D002216,Captopril,402,9
2670794,15,D000809,angiotensin,439,11
2670794,19,D002216,Captopril,705,9
2670794,21,D014508,urea,813,4
2670794,22,D002216,Captopril,856,9
2670794,23,D014148,AMCA,975,4
2670794,24,D002216,Captopril,1023,9
2670794,25,D000804,Angiotension II,1138,15
2670794,26,D011464,prostacyclin,1173,12
2670794,27,D001920,bradykinin,1215,10
2670794,28,D002216,Captopril,1228,9
2696505,0,D007741,labetalol,27,9
2696505,1,D009599,nitroprusside,41,13
2696505,3,D007741,labetalol,103,9
2696505,5,D009599,nitroprusside,137,13
2696505,10,D009599,nitroprusside,611,13
2696505,11,D007741,Labetalol,626,9
2696505,12,C093415,PO2,707,3
2696505,13,D007741,labetalol,759,9
2696505,14,D009599,nitroprusside,792,13
2924746,0,D002220,carbamazepine,8,13
2924746,2,D005492,folate,96,6
2924746,3,D005492,Folate,119,6
