document_id,annotation_id,mesh_id,text,offset,length
227508,2,D006973,hypertensive,93,12
227508,5,D007022,hypotensive,274,11
227508,9,D006973,hypertensive,469,12
227508,15,D006973,hypertensive,750,12
354896,1,D006323,cardiac asystole,18,16
354896,3,D003866,depression,142,10
354896,4,D001919,bradyarrhythmias,331,16
435349,1,D005207,fasciculations,41,14
435349,4,D013746,tetanic,265,7
435349,6,D005207,Fasciculations,395,14
435349,7,D005207,fasciculation,483,13
435349,8,D005207,fasciculation,523,13
435349,9,D013746,twitch,538,6
435349,10,D013746,tetanus,561,7
435349,11,D005207,Fasciculations,627,14
435349,12,D005207,fasciculation,673,13
435349,13,D005207,fasciculation,746,13
603022,6,D062787,overdosage,315,10
1378968,1,D007676,chronic renal failure,70,21
1378968,3,D007674,nephropathy,127,11
1378968,4,D051437,renal failure,309,13
1378968,14,D011507,proteinuria,975,11
1378968,15,D006973,hypertension,1000,12
1378968,16,D005921,glomerulosclerosis,1027,18
1378968,17,D051437,renal failure,1087,13
1378968,22,D007674,nephropathy,1390,11
1378968,23,D011507,proteinuria,1466,11
1378968,24,D006973,hypertension,1500,12
1378968,25,D007676,chronic renal failure,1531,21
1420741,0,D003424,Crohn's disease,13,15
1420741,4,D003424,Crohn's disease,292,15
1420741,6,D003424,Crohn's disease,467,15
1420741,9,D009325,nausea,910,6
1420741,11,D003424,Crohn's disease,1263,15
1420741,13,D015212,inflammatory bowel disease,1440,26
1601297,0,D009202,myocardial injury,33,17
1601297,3,D012559,schizophrenic,194,13
1601297,5,D009202,myocardial injury,305,17
1601297,6,D009203,myocardial infarction,334,21
1601297,7,D007511,ischemia,357,8
1601297,8,D002037,bundle branch block,371,19
1967484,1,D004421,tardive dystonia,18,16
1967484,5,D004409,tardive dyskinesia,222,18
1967484,6,D010302,parkinsonism,245,12
1967484,7,D004421,dystonia,355,8
1967484,10,D004421,tardive dystonia,474,16
2234245,0,D014786|D006311,Ocular and auditory toxicity,0,28
2234245,1,D014786,Ocular toxicity,0,6
2234245,2,D006311,auditory toxicity,11,17
2234245,5,D014786|D006311,audiovisual toxicity,250,20
2234245,6,D014786|D006311,visual or auditory toxicity,314,27
2234245,7,D014786,visual toxicity,314,6
2234245,8,D006311,auditory toxicity,324,17
2234245,9,D014786,Visual toxicity,457,15
2234245,10,-1,dyschromatopsy,534,14
2234245,11,D014786,a loss of visual acuity,576,23
2234245,12,D012164,pigmentary retinal deposits,604,27
2234245,13,D006311,Auditory toxicity,633,17
2234245,14,D006319,neurosensorial hearing loss,697,27
2234245,16,D034381,hearing loss,911,12
2234245,17,D064420,toxicity,970,8
2234245,20,D014786|D006311,audiovisual toxicity,1144,20
2385256,0,D009157,Myasthenia gravis,0,17
2385256,2,D009468,neuromuscular disease,119,21
2385256,3,D011782,quadriplegic,162,12
2385256,5,D011225,preeclampsia,221,12
2385256,8,D009468,postsynaptic neuromuscular blockade,525,35
2385256,10,D010243,paralysis,761,9
2385256,12,D009157,myasthenia gravis,844,17
2385256,14,D020511,disorder of neuromuscular transmission,1078,38
2505783,6,D006470|D003556,hemorrhagic cystitis,375,20
2505783,7,D006470,hemorrhagic,375,11
2505783,8,D003556,cystitis,387,8
2505783,10,D001745,bladder damage,476,14
2515254,0,D010146,pain,10,4
2515254,1,D008881,migraine,44,8
2515254,2,D008881,migraine,87,8
2515254,4,D008881,migraine,255,8
2515254,6,D008881,migraine,386,8
2515254,8,D008881,migraine,557,8
2515254,9,D008881,migraine,589,8
2515254,11,D010146,pain,693,4
2515254,12,D008881,migraine,790,8
2515254,13,D008881,migraine,851,8
2572625,1,D056486,hepatitis,26,9
2572625,2,D056486,hepatitis,89,9
2572625,3,D047508,extensive hepatocellular necrosis,104,33
2572625,9,D056486,hepatitis,432,9
2572625,11,D056486,hepatitis,500,9
2572625,12,D056486,hepatotoxicity,546,14
2632720,0,D006973,hypertension,9,12
2632720,2,D003480,Cushing's syndrome,101,18
2632720,4,D006973,hypertension,187,12
2632720,7,D006973,hypertension,366,12
2632720,14,D006973,hypertension,847,12
2670794,2,D011665|D051437,pulmonary and renal insufficiency,72,33
2670794,3,D011665,pulmonary insufficiency,72,9
2670794,4,D051437,renal insufficiency,86,19
2670794,5,D004211,intravascular coagulation,113,25
2670794,6,D004211,intravascular coagulation,164,25
2670794,9,D011665|D051437,pulmonary and renal insufficiency,298,33
2670794,10,D011665,pulmonary insufficiency,298,9
2670794,11,D051437,renal insufficiency,312,19
2670794,12,D014947,trauma,364,6
2670794,13,D018805,sepsis,374,6
2670794,16,D011665|D051437,pulmonary and renal insufficiency,489,33
2670794,17,D011665,pulmonary insufficiency,489,9
2670794,18,D051437,renal insufficiency,503,19
2670794,20,D007674,Renal damage,763,12
2670794,29,D007674,kidney damage,1504,13
2696505,2,D007022,hypotension,67,11
2696505,4,D007022,hypotension,121,11
2696505,6,D007022,hypotension,159,11
2696505,7,D007022,reductions in mean arterial blood pressure,350,42
2696505,8,D016534,increase in heart rate and cardiac output,491,41
2696505,9,D006973,hypertension,542,12
2924746,1,D064420,toxicity,54,8
2924746,9,D012640,seizures,565,8
2924746,10,D015430,weight gain,588,11
2924746,11,D012640,Seizures,601,8
2924746,15,D012640,seizures,725,8
2924746,18,D012640,seizures,907,8
2924746,19,D015430,weight gain,955,11
2951327,3,D013610,tachycardia,588,11
2951327,5,D007022,hypotension,734,11
3192036,0,D003643,Death,0,5
3192036,1,D031901,gestational trophoblastic disease,27,33
3192036,2,D002822,choriocarcinoma,175,15
3192036,11,D011655,pulmonary obstruction,701,21
3192036,12,D009369,tumor,854,5
3192036,13,D009336,necrosis,860,8
3192036,14,D009369,tumor,961,5
3192036,15,D009369,tumor,1009,5
3192036,16,D009369,tumor,1107,5
3192036,17,D004617,embolism,1224,8
3192036,18,D009336,necrosis,1273,8
3192036,19,D010386,pelvic tumor,1335,12
3409645,0,D012735,Sexual dysfunction,0,18
3409645,1,D001168,arthritis,39,9
3409645,2,D001168,arthritis,70,9
3409645,3,D012735,sexual dysfunction,84,18
3409645,4,D001172,rheumatoid arthritis,144,20
3409645,5,D010003,osteoarthritis,166,14
3409645,6,D025242,spondyloarthropathy,185,19
3409645,7,D003866,depressed mood,286,14
3409645,8,D012735,Sexual dysfunctions,378,19
