document_id,title,abstract_length,has_chemicals,has_diseases,has_relations
227508,Naloxone reverses the antihypertensive effect of clonidine.,153,Yes,Yes,Yes
354896,Lidocaine-induced cardiac asystole.,54,Yes,Yes,Yes
435349,Suxamethonium infusion rate and observed fasciculations. A dose-response study.,130,Yes,Yes,Yes
603022,"Galanthamine hydrobromide, a longer acting anticholinesterase drug, in the treatment of the central ...",52,Yes,Yes,Yes
1378968,Effects of uninephrectomy and high protein feeding on lithium-induced chronic renal failure in rats.,261,Yes,Yes,Yes
1420741,Treatment of Crohn's disease with fusidic acid: an antibiotic with immunosuppressive properties simi...,223,Yes,Yes,Yes
1601297,Electrocardiographic evidence of myocardial injury in psychiatrically hospitalized cocaine abusers.,42,Yes,Yes,Yes
1967484,Sulpiride-induced tardive dystonia.,58,Yes,Yes,Yes
2234245,Ocular and auditory toxicity in hemodialyzed patients receiving desferrioxamine.,188,Yes,Yes,Yes
2385256,Myasthenia gravis presenting as weakness after magnesium administration.,144,Yes,Yes,Yes
2505783,Chloroacetaldehyde and its contribution to urotoxicity during treatment with cyclophosphamide or ifo...,67,Yes,Yes,Yes
2515254,Source of pain and primitive dysfunction in migraine: an identical site?,121,Yes,Yes,Yes
2572625,Clotiazepam-induced acute hepatitis.,78,Yes,Yes,Yes
2632720,Arterial hypertension as a complication of prolonged ketoconazole treatment.,106,Yes,Yes,Yes
2670794,Effects of an inhibitor of angiotensin converting enzyme (Captopril) on pulmonary and renal insuffic...,219,Yes,Yes,Yes
2696505,A randomized comparison of labetalol and nitroprusside for induced hypotension.,100,Yes,Yes,Yes
2924746,"Chronic carbamazepine treatment in the rat: efficacy, toxicity, and effect on plasma and tissue fola...",192,Yes,Yes,Yes
2951327,Inhibition of sympathoadrenal activity by atrial natriuretic factor in dogs.,220,Yes,Yes,Yes
3192036,Death from chemotherapy in gestational trophoblastic disease.,259,Yes,Yes,Yes
3409645,Sexual dysfunction among patients with arthritis.,129,Yes,Yes,Yes
3412544,Does paracetamol cause urothelial cancer or renal papillary necrosis?,104,Yes,Yes,Yes
3425586,Dapsone-associated Heinz body hemolytic anemia in a Cambodian woman with hemoglobin E trait.,173,Yes,Yes,Yes
3437726,Severe complications of antianginal drug therapy in a patient identified as a poor metabolizer of me...,208,Yes,Yes,Yes
3693336,Triazolam-induced brief episodes of secondary mania in a depressed patient.,49,Yes,Yes,Yes
3780846,On the mechanisms of the development of tolerance to the muscular rigidity produced by morphine in r...,261,Yes,Yes,Yes
3800626,Compression neuropathy of the radial nerve due to pentazocine-induced fibrous myopathy.,107,Yes,Yes,Yes
3827439,Recurrent reversible acute renal failure from amphotericin.,67,Yes,Yes,Yes
3997294,Pneumonitis with pleural and pericardial effusion and neuropathy during amiodarone therapy.,84,Yes,Yes,Yes
4071154,Indomethacin-induced renal insufficiency: recurrence on rechallenge.,95,Yes,Yes,Yes
6103707,Comparison of the subjective effects and plasma concentrations following oral and i.m. administratio...,135,Yes,Yes,Yes
6229975,Changes in heart size during long-term timolol treatment after myocardial infarction.,118,Yes,Yes,Yes
6286738,Vitamin D3 toxicity in dairy cows.,189,Yes,Yes,Yes
6287825,Diseases of peripheral nerves as seen in the Nigerian African.,166,Yes,Yes,Yes
6386793,A double-blind study of the efficacy and safety of dothiepin hydrochloride in the treatment of major...,107,Yes,Yes,Yes
6387529,Behavioral effects of diazepam and propranolol in patients with panic disorder and agoraphobia.,145,Yes,Yes,Yes
6692345,Effect of aspirin on N-[4-(5-nitro-2-furyl)-2-thiazolyl]-formamide-induced epithelial proliferation ...,167,Yes,Yes,Yes
6773726,Provocation of postural hypotension by nitroglycerin in diabetic autonomic neuropathy?,105,Yes,Yes,Yes
6888657,Characterization of estrogen-induced adenohypophyseal tumors in the Fischer 344 rat.,231,Yes,Yes,Yes
7265370,Triamterene nephrolithiasis complicating dyazide therapy.,48,Yes,Yes,Yes
7423039,Metabolic involvement in adriamycin cardiotoxicity.,143,Yes,Yes,Yes
7444978,Age-dependent sensitivity of the rat to neurotoxic effects of streptomycin.,94,Yes,Yes,Yes
7834920,Crescentic fibrillary glomerulonephritis associated with intermittent rifampin therapy for pulmonary...,107,Yes,Yes,Yes
7881871,Time course of lipid peroxidation in puromycin aminonucleoside-induced nephropathy.,159,Yes,Yes,Yes
7930386,Clomipramine-induced sleep disturbance does not impair its prolactin-releasing action.,233,Yes,Yes,Yes
7988234,Angioedema following the intravenous administration of metoprolol.,87,Yes,Yes,Yes
8073369,Effect of coniine on the developing chick embryo.,255,Yes,Yes,Yes
8302922,Epidural blood flow during prostaglandin E1 or trimethaphan induced hypotension.,208,Yes,Yes,Yes
8410052,Immunohistochemical studies with antibodies to neurofilament proteins on axonal damage in experiment...,122,Yes,Yes,Yes
8423889,Increase of Parkinson disability after fluoxetine medication.,47,Yes,Yes,Yes
8682684,Acetaminophen-induced hypotension.,100,Yes,Yes,Yes
9625142,"Acute hepatitis, autoimmune hemolytic anemia, and erythroblastocytopenia induced by ceftriaxone.",76,Yes,Yes,Yes
9766615,Adverse effects of the atypical antipsychotics. Collaborative Working Group on Clinical Trial Evalua...,171,Yes,Yes,Yes
