document_id,relation_id,chemical_annotation_id,disease_annotation_id,relation,Chemical,Disease
227508,R0,,,CID,D008750,D007022
354896,R0,,,CID,D008012,D006323
435349,R0,,,CID,D013390,D005207
603022,R0,,,CID,D012601,D062787
1378968,R0,,,CID,D008094,D006973
1378968,R1,,,CID,D008094,D011507
1378968,R2,,,CID,D008094,D007676
1420741,R0,,,CID,D005672,D009325
1601297,R0,,,CID,D003042,D009203
1601297,R1,,,CID,D003042,D002037
1967484,R0,,,CID,D013469,D004421
2234245,R0,,,CID,D003676,D012164
2234245,R1,,,CID,D003676,D014786
2234245,R2,,,CID,D003676,D006319
2385256,R0,,,CID,D008274,D009157
2505783,R0,,,CID,C004656,D003556
2505783,R1,,,CID,C004656,D006470
2515254,R0,,,CID,D005996,D008881
2572625,R0,,,CID,C084599,D056486
2632720,R0,,,CID,D007654,D006973
2670794,R0,,,CID,D014148,D004211
2696505,R0,,,CID,D009599,D007022
2696505,R1,,,CID,D009599,D016534
2696505,R2,,,CID,D007741,D007022
2924746,R0,,,CID,D005481,D012640
2951327,R0,,,CID,D005996,D007022
2951327,R1,,,CID,D006830,D007022
3192036,R0,,,CID,D005047,D011655
3192036,R1,,,CID,D008727,D011655
3192036,R2,,,CID,D003520,D011655
3409645,R0,,,CID,D008727,D007172
3412544,R0,,,CID,D010615,D007681
3412544,R1,,,CID,D010615,D001749
3412544,R2,,,CID,D010615,D007680
3425586,R0,,,CID,D003622,D000743
3437726,R0,,,CID,D004110,D007022
3437726,R1,,,CID,D004110,D018754
3437726,R2,,,CID,D008790,D018754
3437726,R3,,,CID,D008790,D007022
3437726,R4,,,CID,D004110,D054537
3437726,R5,,,CID,D008790,D054537
3693336,R0,,,CID,D014229,D001714
3780846,R0,,,CID,D006220,D009127
3780846,R1,,,CID,D009020,D009127
3780846,R2,,,CID,D009020,D006948
3780846,R3,,,CID,D009020,D018476
3800626,R0,,,CID,D010423,D005355
3800626,R1,,,CID,D010423,D009135
3800626,R2,,,CID,D010423,D020425
3800626,R3,,,CID,D010423,D009408
3827439,R0,,,CID,D000666,D058186
3997294,R0,,,CID,D000638,D010490
3997294,R1,,,CID,D000638,D009468
3997294,R2,,,CID,D000638,D010996
3997294,R3,,,CID,D000638,D011014
4071154,R0,,,CID,D007213,D006947
4071154,R1,,,CID,D007213,D009846
4071154,R2,,,CID,D007213,D058186
4071154,R3,,,CID,D007213,D005355
4071154,R4,,,CID,D007213,D001201
4071154,R5,,,CID,D007213,D011660
6103707,R0,,,CID,D005445,D004244
6103707,R1,,,CID,D005445,D010146
6229975,R0,,,CID,D013999,D006332
6286738,R0,,,CID,D002762,D006934
6286738,R1,,,CID,D002762,D054559
6287825,R0,,,CID,D012256,D010523
6287825,R1,,,CID,D013831,D010523
6287825,R2,,,CID,D007538,D010523
6386793,R0,,,CID,D000639,D014786
6386793,R1,,,CID,D000639,D014987
6387529,R0,,,CID,D011433,D008569
6387529,R1,,,CID,D003975,D008569
6692345,R0,,,CID,D005200,D001749
6692345,R1,,,CID,D005200,D013274
6773726,R0,,,CID,D005996,D007022
